sklearn Primitive - Citation,Hyperparameters,Input Data Used,Accuracy,Precision,Recall,F-measure,Pickle ID
"sklearnpipeline(CountVectorizer, LogisticRegression)", - ,Allen,0.884,0.854,0.962,0.905,citcvlr.p
"sklearnpipeline(TFIDFVectorizer, LogisticRegression)", - ,Allen,0.874,0.844,0.959,0.897,cittflr.p
"sklearnpipeline(TFIDFVectorizer, NaiveBayes)", - ,Allen,0.882,0.846,0.972,0.904,cittfnb.p
"sklearnpipeline(CountVectorizer, NaiveBayes)", -,Allen,0.884,0.849,0.971,0.906,citcvnb.p
"sklearnpipeline(CountVectorizer, BernoulliBayes)", -,Allen,0.886,0.853,0.968,0.907,citcvbb.p
"sklearnpipeline(TFIDFVectorizer, StochasticGradientDescent)",loss = 'log',Allen,0.886,0.849,0.975,0.908,cittfsgd.p
"sklearnpipeline(TFIDFVectorizer, XGBClassifier)", -,Allen,0.87,0.836,0.962,0.894,cittfxgb.p
"sklearnpipeline(TFIDFVectorizer, Perceptron)", -,Allen,0.873,0.842,0.962,0.897,cittfper.p
"sklearnpipeline(TFIDFVectorizer, RandomForestClassifier)", -,Allen,0.882,0.853,0.965,0.904,cittfrfc.p
"sklearnpipeline(TFIDFVectorizer, DecisionTreeClassifier)", -,Allen,0.877,0.849,0.956,0.899,cittfdtc.p
"sklearnpipeline(TFIDFVectorizer, AdaBoostClassifier)", -,Allen,0.881,0.85,0.962,0.902,cittfada.p
